Date,Price,Open,High,Low,Vol.,Change %,,,rank,commentCount,likeCount,,,,,type1,value1,,gender,
17-Jan,19864.09,19872.86,20125.58,19677.94,6.48B,0.51%,53,,21,419,970,,,,,,,,F,
17-Feb,20812.24,19923.81,20851.33,19831.09,6.19B,4.77%,52,,22,79,947,,,,,,,,F,
17-Mar,20663.22,20957.29,21169.11,20412.8,6.94B,-0.72%,51,,23,82,862,,,,,,,,F,
17-Apr,20940.51,20665.17,21070.9,20379.55,5.39B,1.34%,50,,24,22,859,,,,,,,,M,
17-May,21008.65,20962.73,21112.32,20553.45,6.61B,0.33%,49,,25,35,820,,,,,,,,F,
17-Jun,21349.63,21030.55,21535.03,20994.22,7.21B,1.62%,48,,26,144,801,,,,,,,,F,
17-Jul,21891.12,21392.3,21929.8,21279.3,5.57B,2.54%,47,,27,142,761,,,,,,,,M,
17-Aug,21948.1,21961.42,22179.11,21600.34,6.15B,0.26%,46,,28,82,723,,,,,,,,M,
17-Sep,22405.09,21981.77,22419.51,21709.63,6.34B,2.08%,45,,29,271,706,,,,,,,,F,
17-Oct,23377.24,22423.47,23485.25,22416,7.30B,4.34%,44,,30,55,670,,,,,,,,F,
17-Nov,24272.35,23442.9,24327.82,23242.75,7.34B,3.83%,43,,1,63,3970,,,,,,,,F,
17-Dec,24719.22,24305.4,24876.07,23921.9,6.59B,1.84%,42,,2,127,2446,,,,,,,,F,
18-Jan,26149.39,24809.35,26616.71,24741.7,9.12B,5.79%,41,,3,79,2180,,,,,,,,M,
18-Feb,25029.2,26083.04,26306.7,23360.29,9.45B,-4.28%,40,,4,284,1819,,,,,,,,M,
18-Mar,24103.11,25024.04,25449.15,23509.06,8.87B,-3.70%,39,,5,62,1759,,,,,,,,M,
18-Apr,24163.15,24076.6,24858.97,23344.52,8.06B,0.25%,38,,6,599,1665,,,,,,,,M,
18-May,24415.84,24117.29,25086.49,23531.31,7.28B,1.05%,37,,7,68,1636,,,,,,,,F,
18-Jun,24271.41,24542.09,25402.83,23997.21,7.41B,-0.59%,36,,8,155,1560,,,,,,,,F,
18-Jul,25415.19,24161.53,25587.24,24077.56,5.41B,4.71%,35,,9,35,1303,,,,,,,,M,
18-Aug,25964.82,25461.63,26167.94,24965.77,5.64B,2.16%,34,,10,35,1232,,,,,,,,F,
18-Sep,26458.31,25916.07,26769.16,25754.32,5.26B,1.90%,33,,11,668,1227,,,,,,,,F,
18-Oct,25115.76,26598.36,26951.81,24122.23,8.37B,-5.07%,32,,12,99,1227,,,,,,,,F,
18-Nov,25538.46,25142.08,26277.82,24268.74,7.23B,1.68%,31,,13,106,1083,,,,,,,,M,
18-Dec,23327.46,25779.57,25980.21,21712.53,8.10B,-8.66%,30,,14,358,1030,,,,,,,,F,
19-Jan,24999.67,23058.61,25109.62,22638.41,7.19B,7.17%,29,,15,24,987,,,,,,,,M,
19-Feb,25916,25025.31,26241.42,24883.04,5.43B,3.67%,28,,16,111,919,,,,,,,,F,
19-Mar,25928.68,26019.67,26155.98,25208,6.63B,0.05%,27,,17,72,892,,,,,,,,M,
19-Apr,26592.91,26075.1,26695.96,26062.59,5.85B,2.56%,26,,18,33,859,,,,,,,,F,
19-May,24815.04,26639.06,26689.39,24809.51,6.36B,-6.69%,25,,19,40,842,,,,,,,,F,
19-Jun,26599.96,24830.16,26907.37,24680.57,5.54B,7.19%,24,,20,108,835,,,,,,,,F,
19-Jul,26864.27,26805.86,27398.68,26616.21,5.27B,0.99%,23,,21,30,791,,,,,,,,F,
19-Aug,26403.28,26879.86,27175.59,25339.6,6.24B,-1.72%,22,,22,52,740,,,,,,,,M,
19-Sep,26916.83,26198.26,27306.73,25978.22,5.09B,1.95%,21,,23,60,697,,,,,,,,F,
19-Oct,27046.23,26962.54,27204.36,25743.46,5.72B,0.48%,20,,24,70,685,,,,,,,,M,
19-Nov,28051.41,27142.95,28174.97,27142.95,4.98B,3.72%,19,,25,38,666,,,,,,,,F,
19-Dec,28538.44,28109.74,28701.66,27325.13,5.14B,1.74%,18,,26,112,661,,,,,,,,F,
20-Jan,28256.03,28638.97,29373.62,28169.53,6.27B,-0.99%,17,,27,94,657,,,,,,,,F,
20-Feb,25409.36,28319.65,29568.57,24681.01,7.05B,-10.07%,16,,28,35,656,,,,,,,,F,
20-Mar,21917.16,25590.51,27102.34,18213.65,15.60B,-13.74%,15,,29,86,648,,,,,,,,M,
20-Apr,24345.72,21227.38,24764.77,20735.02,9.88B,11.08%,14,,30,108,643,,,,,,,,F,
20-May,25383.11,24120.78,25758.79,22789.62,8.01B,4.26%,13,,1,137,4939,,,,,,,,M,
20-Jun,25812.88,25342.99,27580.21,24843.18,9.82B,1.69%,12,,2,72,3877,,,,,,,,M,
20-Jul,26428.32,25879.38,27071.33,25523.51,8.27B,2.38%,11,,3,230,3783,,,,,,,,F,
20-Aug,28430.05,26542.32,28733.35,26534.38,7.51B,7.57%,10,,4,133,2808,,,,,,,,F,
20-Sep,27781.7,28439.61,29199.35,26537.01,10.05B,-2.28%,9,,5,774,2608,,,,,,,,F,
20-Oct,26501.6,27940.63,28957.9,26143.77,8.51B,-4.61%,8,,6,41,2295,,,,,,,,F,
20-Nov,29638.64,26691.28,30116.51,26691.28,7.92B,11.84%,7,,7,50,2275,,,,,,,,M,
20-Dec,30606.48,29797.5,30637.47,29599.29,8.18B,3.27%,6,,8,239,2237,,,,,,,,F,
21-Jan,29982.62,30627.47,31272.22,29856.3,8.22B,-2.04%,5,,9,870,1853,,,,,,,,F,
21-Feb,30932.37,30054.73,32009.64,30014.97,6.77B,3.17%,4,,10,575,1780,,,,,,,,M,
21-Mar,32981.55,31065.9,33259,30547.53,9.79B,6.62%,3,,11,410,1694,,,,,,,,F,
21-Apr,33879,33054.58,34254.8,32986.61,409.60M,2.72%,2,,12,140,1524,,,,,,,,M,
21-May,34529.45,34045.46,35091.08,33473.8,290.85M,1.92%,1,,13,38,1437,,,,,,,,F,
,,,,,,,,,14,22,1394,,,,,,,,F,
,,,,,,,,,15,367,1353,,,,,,,,F,
,,,,,,,,,16,112,1222,,,,,,,,M,
,,,,,,,,,17,241,1221,,,,,,,,M,
,,,,,,,,,18,39,1208,,,,,,,,F,
,,,,,,,,,19,128,1188,,,,,,,,F,
,,,,,,,,,20,129,1096,,,,,,,,M,
,,,,,,,,,21,130,1046,,,,,,,,F,
,,,,,,,,,22,35,1027,,,,,,,,F,
,,,,,,,,,23,35,998,,,,,,,,F,
,,,,,,,,,24,224,977,,,,,,,,F,
,,,,,,,,,25,25,923,,,,,,,,F,
,,,,,,,,,26,25,900,,,,,,,,F,
,,,,,,,,,27,77,858,,,,,,,,M,
,,,,,,,,,28,22,855,,,,,,,,M,
,,,,,,,,,29,159,845,,,,,,,,F,
,,,,,,,,,30,50,842,,,,,,,,F,
,,,,,,,,,1,961,5510,,,,,,,,F,
,,,,,,,,,2,488,4148,,,,,,,,M,
,,,,,,,,,3,78,2998,,,,,,,,M,
,,,,,,,,,4,528,2733,,,,,,,,F,
,,,,,,,,,5,103,2729,,,,,,,,M,
,,,,,,,,,6,146,2534,,,,,,,,M,
,,,,,,,,,7,77,2139,,,,,,,,F,
,,,,,,,,,8,65,2124,,,,,,,,M,
,,,,,,,,,9,92,2019,,,,,,,,F,
,,,,,,,,,10,40,1476,,,,,,,,F,
,,,,,,,,,11,33,1407,,,,,,,,F,
,,,,,,,,,12,171,1384,,,,,,,,F,
,,,,,,,,,13,60,1373,,,,,,,,M,
,,,,,,,,,14,198,1332,,,,,,,,F,
,,,,,,,,,15,221,1329,,,,,,,,F,
,,,,,,,,,16,331,1292,,,,,,,,F,
,,,,,,,,,17,248,1252,,,,,,,,F,
,,,,,,,,,18,147,1212,,,,,,,,F,
,,,,,,,,,19,55,1185,,,,,,,,F,
,,,,,,,,,20,312,1131,,,,,,,,F,
,,,,,,,,,21,47,1099,,,,,,,,F,
,,,,,,,,,22,57,1070,,,,,,,,F,
,,,,,,,,,23,91,979,,,,,,,,F,
,,,,,,,,,24,71,964,,,,,,,,M,
,,,,,,,,,25,32,956,,,,,,,,F,
,,,,,,,,,26,140,913,,,,,,,,F,
,,,,,,,,,27,70,908,,,,,,,,M,
,,,,,,,,,28,129,903,,,,,,,,F,
,,,,,,,,,29,106,881,,,,,,,,F,
,,,,,,,,,30,34,858,,,,,,,,F,
,,,,,,,,,1,210,3144,,,,,,,,M,
,,,,,,,,,2,22,2444,,,,,,,,F,
,,,,,,,,,3,48,2246,,,,,,,,F,
,,,,,,,,,4,155,2036,,,,,,,,F,
,,,,,,,,,5,238,2010,,,,,,,,F,
,,,,,,,,,6,113,1795,,,,,,,,F,
,,,,,,,,,7,97,1628,,,,,,,,F,
,,,,,,,,,8,89,1585,,,,,,,,F,
,,,,,,,,,9,42,1581,,,,,,,,F,
,,,,,,,,,10,231,1525,,,,,,,,M,
,,,,,,,,,11,60,1380,,,,,,,,F,
,,,,,,,,,12,93,1296,,,,,,,,F,
,,,,,,,,,13,89,1213,,,,,,,,M,
,,,,,,,,,14,61,1041,,,,,,,,F,
,,,,,,,,,15,366,992,,,,,,,,F,
,,,,,,,,,16,78,985,,,,,,,,F,
,,,,,,,,,17,35,929,,,,,,,,F,
,,,,,,,,,18,94,926,,,,,,,,M,
,,,,,,,,,19,169,900,,,,,,,,F,
,,,,,,,,,20,58,900,,,,,,,,F,
,,,,,,,,,21,109,894,,,,,,,,F,
,,,,,,,,,22,74,803,,,,,,,,M,
,,,,,,,,,23,23,791,,,,,,,,F,
,,,,,,,,,24,93,778,,,,,,,,M,
,,,,,,,,,25,58,778,,,,,,,,F,
,,,,,,,,,26,117,756,,,,,,,,M,
,,,,,,,,,27,68,750,,,,,,,,F,
,,,,,,,,,28,23,715,,,,,,,,M,
,,,,,,,,,29,48,691,,,,,,,,F,
,,,,,,,,,30,225,688,,,,,,,,M,
,,,,,,,,,1,86,4747,,,,,,,,M,
,,,,,,,,,2,275,2627,,,,,,,,M,
,,,,,,,,,3,110,1920,,,,,,,,F,
,,,,,,,,,4,139,1843,,,,,,,,F,
,,,,,,,,,5,57,1662,,,,,,,,F,
,,,,,,,,,6,66,1631,,,,,,,,F,
,,,,,,,,,7,544,1501,,,,,,,,M,
,,,,,,,,,8,197,1431,,,,,,,,M,
,,,,,,,,,9,46,1324,,,,,,,,F,
,,,,,,,,,10,264,1258,,,,,,,,F,
,,,,,,,,,11,92,1247,,,,,,,,F,
,,,,,,,,,12,112,1222,,,,,,,,F,
,,,,,,,,,13,84,1148,,,,,,,,F,
,,,,,,,,,14,162,1145,,,,,,,,F,
,,,,,,,,,15,202,1122,,,,,,,,M,
,,,,,,,,,16,359,1037,,,,,,,,F,
,,,,,,,,,17,29,1029,,,,,,,,M,
,,,,,,,,,18,137,1022,,,,,,,,F,
,,,,,,,,,19,64,1019,,,,,,,,F,
,,,,,,,,,20,113,998,,,,,,,,M,
,,,,,,,,,21,43,996,,,,,,,,F,
,,,,,,,,,22,70,930,,,,,,,,M,
,,,,,,,,,23,35,898,,,,,,,,M,
,,,,,,,,,24,47,862,,,,,,,,F,
,,,,,,,,,25,69,808,,,,,,,,F,
,,,,,,,,,26,69,789,,,,,,,,F,
,,,,,,,,,27,107,787,,,,,,,,F,
,,,,,,,,,28,80,765,,,,,,,,M,
,,,,,,,,,29,59,763,,,,,,,,M,
,,,,,,,,,30,109,753,,,,,,,,M,
,,,,,,,,,1,158,9367,,,,,,,,M,
,,,,,,,,,2,203,9100,,,,,,,,M,
,,,,,,,,,3,162,2594,,,,,,,,M,
,,,,,,,,,4,189,2536,,,,,,,,F,
,,,,,,,,,5,876,2276,,,,,,,,F,
,,,,,,,,,6,175,2246,,,,,,,,F,
,,,,,,,,,7,171,2108,,,,,,,,F,
,,,,,,,,,8,290,2021,,,,,,,,F,
,,,,,,,,,9,126,2010,,,,,,,,M,
,,,,,,,,,10,114,1900,,,,,,,,M,
,,,,,,,,,11,34,1657,,,,,,,,F,
,,,,,,,,,12,488,1477,,,,,,,,F,
,,,,,,,,,13,113,1409,,,,,,,,M,
,,,,,,,,,14,53,1239,,,,,,,,F,
,,,,,,,,,15,92,1202,,,,,,,,F,
,,,,,,,,,16,45,1173,,,,,,,,F,
,,,,,,,,,17,30,1161,,,,,,,,F,
,,,,,,,,,18,71,1147,,,,,,,,F,
,,,,,,,,,19,46,901,,,,,,,,F,
,,,,,,,,,20,758,852,,,,,,,,F,
,,,,,,,,,21,49,832,,,,,,,,F,
,,,,,,,,,22,110,803,,,,,,,,F,
,,,,,,,,,23,86,796,,,,,,,,F,
,,,,,,,,,24,30,781,,,,,,,,M,
,,,,,,,,,25,299,766,,,,,,,,M,
,,,,,,,,,26,24,754,,,,,,,,M,
,,,,,,,,,27,107,751,,,,,,,,M,
,,,,,,,,,28,603,746,,,,,,,,F,
,,,,,,,,,29,42,739,,,,,,,,F,
,,,,,,,,,30,79,713,,,,,,,,F,
,,,,,,,,,1,92,4019,,,,,,,,M,
,,,,,,,,,2,164,3843,,,,,,,,M,
,,,,,,,,,3,568,3719,,,,,,,,M,
,,,,,,,,,4,506,3281,,,,,,,,F,
,,,,,,,,,5,65,2628,,,,,,,,F,
,,,,,,,,,6,544,2330,,,,,,,,F,
,,,,,,,,,7,487,2292,,,,,,,,F,
,,,,,,,,,8,169,1642,,,,,,,,F,
,,,,,,,,,9,56,1447,,,,,,,,M,
,,,,,,,,,10,154,1399,,,,,,,,F,
,,,,,,,,,11,181,1225,,,,,,,,M,
,,,,,,,,,12,127,1062,,,,,,,,M,
,,,,,,,,,13,41,1059,,,,,,,,M,
,,,,,,,,,14,56,1047,,,,,,,,F,
,,,,,,,,,15,102,937,,,,,,,,F,
,,,,,,,,,16,100,920,,,,,,,,F,
,,,,,,,,,17,30,918,,,,,,,,F,
,,,,,,,,,18,28,893,,,,,,,,M,
,,,,,,,,,19,287,891,,,,,,,,F,
,,,,,,,,,20,64,838,,,,,,,,F,
,,,,,,,,,21,37,835,,,,,,,,F,
,,,,,,,,,22,61,832,,,,,,,,F,
,,,,,,,,,23,131,802,,,,,,,,F,
,,,,,,,,,24,220,799,,,,,,,,F,
,,,,,,,,,25,46,793,,,,,,,,F,
,,,,,,,,,26,67,776,,,,,,,,F,
,,,,,,,,,27,191,766,,,,,,,,M,
,,,,,,,,,28,11,724,,,,,,,,M,
,,,,,,,,,29,38,722,,,,,,,,F,
,,,,,,,,,30,42,707,,,,,,,,F,
,,,,,,,,,1,403,6590,,,,,,,,F,
,,,,,,,,,2,363,4196,,,,,,,,F,
,,,,,,,,,3,182,3022,,,,,,,,F,
,,,,,,,,,4,109,2810,,,,,,,,F,
,,,,,,,,,5,20,1962,,,,,,,,F,
,,,,,,,,,6,531,1738,,,,,,,,F,
,,,,,,,,,7,236,1618,,,,,,,,F,
,,,,,,,,,8,84,1565,,,,,,,,M,
,,,,,,,,,9,28,1412,,,,,,,,M,
,,,,,,,,,10,76,1281,,,,,,,,F,
,,,,,,,,,11,30,1233,,,,,,,,F,
,,,,,,,,,12,584,1180,,,,,,,,F,
,,,,,,,,,13,438,1113,,,,,,,,M,
,,,,,,,,,14,15,1013,,,,,,,,F,
,,,,,,,,,15,53,1010,,,,,,,,F,
,,,,,,,,,16,55,1000,,,,,,,,M,
,,,,,,,,,17,36,910,,,,,,,,F,
,,,,,,,,,18,153,862,,,,,,,,F,
,,,,,,,,,19,46,861,,,,,,,,F,
,,,,,,,,,20,98,847,,,,,,,,F,
,,,,,,,,,21,47,845,,,,,,,,M,
,,,,,,,,,22,50,823,,,,,,,,M,
,,,,,,,,,23,34,798,,,,,,,,F,
,,,,,,,,,24,74,758,,,,,,,,F,
,,,,,,,,,25,57,745,,,,,,,,M,
,,,,,,,,,26,147,738,,,,,,,,F,
,,,,,,,,,27,238,719,,,,,,,,M,
,,,,,,,,,28,71,709,,,,,,,,F,
,,,,,,,,,29,74,681,,,,,,,,M,
,,,,,,,,,30,124,680,,,,,,,,F,
,,,,,,,,,1,202,4282,,,,,,,,F,
,,,,,,,,,2,377,3141,,,,,,,,M,
,,,,,,,,,3,160,2818,,,,,,,,F,
,,,,,,,,,4,26,2674,,,,,,,,F,
,,,,,,,,,5,212,2195,,,,,,,,F,
,,,,,,,,,6,71,2099,,,,,,,,M,
,,,,,,,,,7,72,2001,,,,,,,,F,
,,,,,,,,,8,143,1882,,,,,,,,M,
,,,,,,,,,9,293,1822,,,,,,,,F,
,,,,,,,,,10,53,1664,,,,,,,,M,
,,,,,,,,,11,36,1618,,,,,,,,M,
,,,,,,,,,12,55,1583,,,,,,,,F,
,,,,,,,,,13,283,1400,,,,,,,,M,
,,,,,,,,,14,346,1317,,,,,,,,M,
,,,,,,,,,15,135,1225,,,,,,,,F,
,,,,,,,,,16,54,1191,,,,,,,,F,
,,,,,,,,,17,139,1031,,,,,,,,F,
,,,,,,,,,18,106,992,,,,,,,,F,
,,,,,,,,,19,547,925,,,,,,,,M,
,,,,,,,,,20,217,838,,,,,,,,M,
,,,,,,,,,21,123,818,,,,,,,,F,
,,,,,,,,,22,127,811,,,,,,,,M,
,,,,,,,,,23,35,795,,,,,,,,M,
,,,,,,,,,24,540,793,,,,,,,,F,
,,,,,,,,,25,61,793,,,,,,,,F,
,,,,,,,,,26,25,765,,,,,,,,F,
,,,,,,,,,27,169,764,,,,,,,,M,
,,,,,,,,,28,104,712,,,,,,,,M,
,,,,,,,,,29,65,712,,,,,,,,M,
,,,,,,,,,30,254,702,,,,,,,,F,
,,,,,,,,,1,323,3388,,,,,,,,M,
,,,,,,,,,2,241,3270,,,,,,,,F,
,,,,,,,,,3,91,3127,,,,,,,,F,
,,,,,,,,,4,100,2670,,,,,,,,F,
,,,,,,,,,5,220,2640,,,,,,,,F,
,,,,,,,,,6,33,2383,,,,,,,,M,
,,,,,,,,,7,101,1820,,,,,,,,M,
,,,,,,,,,8,232,1777,,,,,,,,M,
,,,,,,,,,9,75,1698,,,,,,,,F,
,,,,,,,,,10,85,1691,,,,,,,,F,
,,,,,,,,,11,42,1688,,,,,,,,F,
,,,,,,,,,12,625,1621,,,,,,,,M,
,,,,,,,,,13,93,1617,,,,,,,,M,
,,,,,,,,,14,299,1487,,,,,,,,F,
,,,,,,,,,15,67,1285,,,,,,,,F,
,,,,,,,,,16,52,1223,,,,,,,,F,
,,,,,,,,,17,98,1159,,,,,,,,F,
,,,,,,,,,18,180,1143,,,,,,,,F,
,,,,,,,,,19,45,1110,,,,,,,,F,
,,,,,,,,,20,135,1030,,,,,,,,F,
,,,,,,,,,21,144,1027,,,,,,,,F,
,,,,,,,,,22,168,999,,,,,,,,F,
,,,,,,,,,23,359,888,,,,,,,,M,
,,,,,,,,,24,62,819,,,,,,,,F,
,,,,,,,,,25,47,815,,,,,,,,M,
,,,,,,,,,26,78,804,,,,,,,,F,
,,,,,,,,,27,50,786,,,,,,,,F,
,,,,,,,,,28,45,779,,,,,,,,F,
,,,,,,,,,29,39,777,,,,,,,,F,
,,,,,,,,,30,48,745,,,,,,,,F,
,,,,,,,,,1,182,8831,,,,,,,,F,
,,,,,,,,,2,1060,4078,,,,,,,,F,
,,,,,,,,,3,65,2974,,,,,,,,F,
,,,,,,,,,4,358,2821,,,,,,,,F,
,,,,,,,,,5,142,2794,,,,,,,,F,
,,,,,,,,,6,605,2364,,,,,,,,F,
,,,,,,,,,7,263,2089,,,,,,,,M,
,,,,,,,,,8,108,2032,,,,,,,,F,
,,,,,,,,,9,744,1897,,,,,,,,F,
,,,,,,,,,10,93,1880,,,,,,,,F,
,,,,,,,,,11,84,1839,,,,,,,,F,
,,,,,,,,,12,69,1827,,,,,,,,M,
,,,,,,,,,13,132,1805,,,,,,,,F,
,,,,,,,,,14,382,1775,,,,,,,,M,
,,,,,,,,,15,66,1772,,,,,,,,F,
,,,,,,,,,16,151,1569,,,,,,,,F,
,,,,,,,,,17,22,1553,,,,,,,,F,
,,,,,,,,,18,169,1398,,,,,,,,F,
,,,,,,,,,19,123,1312,,,,,,,,F,
,,,,,,,,,20,97,1217,,,,,,,,F,
,,,,,,,,,21,34,1104,,,,,,,,F,
,,,,,,,,,22,263,1099,,,,,,,,F,
,,,,,,,,,23,77,1089,,,,,,,,M,
,,,,,,,,,24,89,975,,,,,,,,F,
,,,,,,,,,25,96,895,,,,,,,,M,
,,,,,,,,,26,77,860,,,,,,,,F,
,,,,,,,,,27,153,849,,,,,,,,M,
,,,,,,,,,28,184,811,,,,,,,,F,
,,,,,,,,,29,94,807,,,,,,,,F,
,,,,,,,,,30,67,801,,,,,,,,F,
,,,,,,,,,1,66,5279,,,,,,,,F,
,,,,,,,,,2,109,4836,,,,,,,,F,
,,,,,,,,,3,201,3427,,,,,,,,F,
,,,,,,,,,4,43,2963,,,,,,,,F,
,,,,,,,,,5,143,2755,,,,,,,,M,
,,,,,,,,,6,100,2644,,,,,,,,F,
,,,,,,,,,7,69,2490,,,,,,,,F,
,,,,,,,,,8,321,2256,,,,,,,,M,
,,,,,,,,,9,69,2021,,,,,,,,M,
,,,,,,,,,10,119,1928,,,,,,,,F,
,,,,,,,,,11,60,1804,,,,,,,,F,
,,,,,,,,,12,281,1740,,,,,,,,M,
,,,,,,,,,13,62,1683,,,,,,,,F,
,,,,,,,,,14,53,1604,,,,,,,,F,
,,,,,,,,,15,166,1520,,,,,,,,F,
,,,,,,,,,16,39,1516,,,,,,,,M,
,,,,,,,,,17,41,1449,,,,,,,,F,
,,,,,,,,,18,40,1439,,,,,,,,M,
,,,,,,,,,19,77,1323,,,,,,,,F,
,,,,,,,,,20,96,1208,,,,,,,,M,
,,,,,,,,,21,112,1189,,,,,,,,F,
,,,,,,,,,22,65,1185,,,,,,,,F,
,,,,,,,,,23,64,1166,,,,,,,,M,
,,,,,,,,,24,82,1161,,,,,,,,F,
,,,,,,,,,25,55,1026,,,,,,,,F,
,,,,,,,,,26,126,1002,,,,,,,,M,
,,,,,,,,,27,45,975,,,,,,,,F,
,,,,,,,,,28,43,923,,,,,,,,F,
,,,,,,,,,29,42,905,,,,,,,,F,
,,,,,,,,,30,57,865,,,,,,,,F,
,,,,,,,,,1,140,6011,,,,,,,,F,
,,,,,,,,,2,70,4930,,,,,,,,M,
,,,,,,,,,3,510,4024,,,,,,,,F,
,,,,,,,,,4,160,3107,,,,,,,,F,
,,,,,,,,,5,63,2509,,,,,,,,F,
,,,,,,,,,6,40,2271,,,,,,,,F,
,,,,,,,,,7,59,2108,,,,,,,,F,
,,,,,,,,,8,35,2067,,,,,,,,F,
,,,,,,,,,9,232,2022,,,,,,,,F,
,,,,,,,,,10,98,1932,,,,,,,,F,
,,,,,,,,,11,143,1686,,,,,,,,M,
,,,,,,,,,12,111,1572,,,,,,,,F,
,,,,,,,,,13,117,1550,,,,,,,,F,
,,,,,,,,,14,40,1283,,,,,,,,F,
,,,,,,,,,15,193,1229,,,,,,,,M,
,,,,,,,,,16,169,1196,,,,,,,,F,
,,,,,,,,,17,126,1182,,,,,,,,F,
,,,,,,,,,18,50,1130,,,,,,,,M,
,,,,,,,,,19,48,1058,,,,,,,,F,
,,,,,,,,,20,27,1055,,,,,,,,F,
,,,,,,,,,21,86,1050,,,,,,,,F,
,,,,,,,,,22,114,953,,,,,,,,M,
,,,,,,,,,23,59,946,,,,,,,,F,
,,,,,,,,,24,51,886,,,,,,,,F,
,,,,,,,,,25,126,864,,,,,,,,F,
,,,,,,,,,26,37,848,,,,,,,,F,
,,,,,,,,,27,281,765,,,,,,,,M,
,,,,,,,,,28,69,749,,,,,,,,F,
,,,,,,,,,29,24,729,,,,,,,,M,
,,,,,,,,,30,51,707,,,,,,,,F,
,,,,,,,,,1,165,5324,,,,,,,,M,
,,,,,,,,,2,67,4055,,,,,,,,F,
,,,,,,,,,3,58,3104,,,,,,,,F,
,,,,,,,,,4,25,2462,,,,,,,,F,
,,,,,,,,,5,791,2383,,,,,,,,M,
,,,,,,,,,6,51,2356,,,,,,,,F,
,,,,,,,,,7,248,2177,,,,,,,,M,
,,,,,,,,,8,214,1972,,,,,,,,F,
,,,,,,,,,9,276,1737,,,,,,,,M,
,,,,,,,,,10,2393,1617,,,,,,,,F,
,,,,,,,,,11,57,1444,,,,,,,,M,
,,,,,,,,,12,148,1386,,,,,,,,M,
,,,,,,,,,13,71,1363,,,,,,,,M,
,,,,,,,,,14,181,1323,,,,,,,,F,
,,,,,,,,,15,490,1290,,,,,,,,F,
,,,,,,,,,16,123,1132,,,,,,,,F,
,,,,,,,,,17,116,1127,,,,,,,,F,
,,,,,,,,,18,142,1125,,,,,,,,M,
,,,,,,,,,19,206,1124,,,,,,,,M,
,,,,,,,,,20,47,958,,,,,,,,F,
,,,,,,,,,21,95,955,,,,,,,,F,
,,,,,,,,,22,65,946,,,,,,,,F,
,,,,,,,,,23,49,945,,,,,,,,M,
,,,,,,,,,24,153,931,,,,,,,,F,
,,,,,,,,,25,37,907,,,,,,,,F,
,,,,,,,,,26,88,873,,,,,,,,M,
,,,,,,,,,27,64,866,,,,,,,,F,
,,,,,,,,,28,93,855,,,,,,,,M,
,,,,,,,,,29,22,842,,,,,,,,F,
,,,,,,,,,30,54,833,,,,,,,,M,
,,,,,,,,,1,116,5448,,,,,,,,M,
,,,,,,,,,2,833,4822,,,,,,,,M,
,,,,,,,,,3,258,4668,,,,,,,,F,
,,,,,,,,,4,129,4529,,,,,,,,F,
,,,,,,,,,5,140,2462,,,,,,,,M,
,,,,,,,,,6,163,2424,,,,,,,,F,
,,,,,,,,,7,74,1837,,,,,,,,F,
,,,,,,,,,8,150,1826,,,,,,,,F,
,,,,,,,,,9,81,1496,,,,,,,,F,
,,,,,,,,,10,97,1384,,,,,,,,M,
,,,,,,,,,11,110,1358,,,,,,,,F,
,,,,,,,,,12,59,1341,,,,,,,,M,
,,,,,,,,,13,162,1268,,,,,,,,F,
,,,,,,,,,14,93,1215,,,,,,,,F,
,,,,,,,,,15,136,1158,,,,,,,,F,
,,,,,,,,,16,113,1135,,,,,,,,F,
,,,,,,,,,17,87,1131,,,,,,,,F,
,,,,,,,,,18,43,1130,,,,,,,,F,
,,,,,,,,,19,84,1107,,,,,,,,M,
,,,,,,,,,20,126,1068,,,,,,,,M,
,,,,,,,,,21,147,1033,,,,,,,,M,
,,,,,,,,,22,181,1024,,,,,,,,M,
,,,,,,,,,23,203,978,,,,,,,,F,
,,,,,,,,,24,47,964,,,,,,,,F,
,,,,,,,,,25,84,943,,,,,,,,F,
,,,,,,,,,26,36,938,,,,,,,,F,
,,,,,,,,,27,65,928,,,,,,,,F,
,,,,,,,,,28,101,816,,,,,,,,F,
,,,,,,,,,29,203,801,,,,,,,,F,
